,Canton,Income,Swiss taxes,US Taxes
0,Zürich,20000,48.0,2005.0
1,Bern,20000,0.0,2005.0
2,Luzern,20000,50.0,2005.0
3,Uri,20000,100.0,2005.0
4,Schwyz,20000,0.0,2005.0
5,Obwalden,20000,0.0,2005.0
6,Nidwalden,20000,50.0,2005.0
7,Glarus,20000,0.0,2005.0
8,Zug,20000,0.0,2005.0
9,Fribourg,20000,0.0,2005.0
10,Solothurn,20000,80.0,2005.0
11,Basel-Stadt,20000,0.0,2005.0
12,Basel-Landschaft,20000,0.0,2005.0
13,Schaffhausen,20000,60.0,2005.0
14,Appenzell Ausserrhoden,20000,0.0,2005.0
15,Appenzell Innerrhoden,20000,0.0,2005.0
16,St. Gallen,20000,0.0,2005.0
17,Graubünden,20000,0.0,2005.0
18,Aargau,20000,0.0,2005.0
19,Thurgau,20000,0.0,2005.0
20,Ticino,20000,40.0,2005.0
21,Vaud,20000,0.0,2005.0
22,Valais,20000,34.0,2005.0
23,Neuchâtel,20000,0.0,2005.0
24,Genève,20000,25.0,2005.0
25,Jura,20000,0.0,2005.0
26,Zürich,40000,85.0,4405.0
27,Bern,40000,0.0,4405.0
28,Luzern,40000,50.0,4405.0
29,Uri,40000,100.0,4405.0
30,Schwyz,40000,54.0,4405.0
31,Obwalden,40000,0.0,4405.0
32,Nidwalden,40000,50.0,4405.0
33,Glarus,40000,357.0,4405.0
34,Zug,40000,0.0,4405.0
35,Fribourg,40000,124.0,4405.0
36,Solothurn,40000,375.0,4405.0
37,Basel-Stadt,40000,0.0,4405.0
38,Basel-Landschaft,40000,0.0,4405.0
39,Schaffhausen,40000,90.0,4405.0
40,Appenzell Ausserrhoden,40000,409.0,4405.0
41,Appenzell Innerrhoden,40000,480.0,4405.0
42,St. Gallen,40000,0.0,4405.0
43,Graubünden,40000,0.0,4405.0
44,Aargau,40000,122.0,4405.0
45,Thurgau,40000,0.0,4405.0
46,Ticino,40000,40.0,4405.0
47,Vaud,40000,0.0,4405.0
48,Valais,40000,34.0,4405.0
49,Neuchâtel,40000,350.0,4405.0
50,Genève,40000,25.0,4405.0
51,Jura,40000,0.0,4405.0
52,Zürich,60000,1092.0,6805.0
53,Bern,60000,1756.0,6805.0
54,Luzern,60000,1319.0,6805.0
55,Uri,60000,1545.0,6805.0
56,Schwyz,60000,1125.0,6805.0
57,Obwalden,60000,1604.0,6805.0
58,Nidwalden,60000,812.0,6805.0
59,Glarus,60000,2361.0,6805.0
60,Zug,60000,0.0,6805.0
61,Fribourg,60000,1406.0,6805.0
62,Solothurn,60000,2921.0,6805.0
63,Basel-Stadt,60000,0.0,6805.0
64,Basel-Landschaft,60000,0.0,6805.0
65,Schaffhausen,60000,1863.0,6805.0
66,Appenzell Ausserrhoden,60000,2739.0,6805.0
67,Appenzell Innerrhoden,60000,1670.0,6805.0
68,St. Gallen,60000,1015.0,6805.0
69,Graubünden,60000,390.0,6805.0
70,Aargau,60000,1283.0,6805.0
71,Thurgau,60000,683.0,6805.0
72,Ticino,60000,721.0,6805.0
73,Vaud,60000,630.0,6805.0
74,Valais,60000,477.0,6805.0
75,Neuchâtel,60000,2447.0,6805.0
76,Genève,60000,25.0,6805.0
77,Jura,60000,1616.0,6805.0
78,Zürich,80000,2791.0,9205.0
79,Bern,80000,5336.0,9205.0
80,Luzern,80000,3634.0,9205.0
81,Uri,80000,4193.0,9205.0
82,Schwyz,80000,2619.0,9205.0
83,Obwalden,80000,4199.0,9205.0
84,Nidwalden,80000,2756.0,9205.0
85,Glarus,80000,4390.0,9205.0
86,Zug,80000,359.0,9205.0
87,Fribourg,80000,3633.0,9205.0
88,Solothurn,80000,5364.0,9205.0
89,Basel-Stadt,80000,2987.0,9205.0
90,Basel-Landschaft,80000,2534.0,9205.0
91,Schaffhausen,80000,4280.0,9205.0
92,Appenzell Ausserrhoden,80000,5075.0,9205.0
93,Appenzell Innerrhoden,80000,3155.0,9205.0
94,St. Gallen,80000,3622.0,9205.0
95,Graubünden,80000,2691.0,9205.0
96,Aargau,80000,3237.0,9205.0
97,Thurgau,80000,3109.0,9205.0
98,Ticino,80000,1841.0,9205.0
99,Vaud,80000,3930.0,9205.0
100,Valais,80000,2362.0,9205.0
101,Neuchâtel,80000,6270.0,9205.0
102,Genève,80000,348.0,9205.0
103,Jura,80000,4710.0,9205.0
104,Zürich,100000,4969.0,13580.0
105,Bern,100000,8604.0,13580.0
106,Luzern,100000,6418.0,13580.0
107,Uri,100000,6839.0,13580.0
108,Schwyz,100000,4111.0,13580.0
109,Obwalden,100000,6610.0,13580.0
110,Nidwalden,100000,5283.0,13580.0
111,Glarus,100000,6880.0,13580.0
112,Zug,100000,1146.0,13580.0
113,Fribourg,100000,6329.0,13580.0
114,Solothurn,100000,8759.0,13580.0
115,Basel-Stadt,100000,7338.0,13580.0
116,Basel-Landschaft,100000,6267.0,13580.0
117,Schaffhausen,100000,6732.0,13580.0
118,Appenzell Ausserrhoden,100000,7751.0,13580.0
119,Appenzell Innerrhoden,100000,5479.0,13580.0
120,St. Gallen,100000,6618.0,13580.0
121,Graubünden,100000,5291.0,13580.0
122,Aargau,100000,5926.0,13580.0
123,Thurgau,100000,5834.0,13580.0
124,Ticino,100000,4276.0,13580.0
125,Vaud,100000,9155.0,13580.0
126,Valais,100000,4191.0,13580.0
127,Neuchâtel,100000,9603.0,13580.0
128,Genève,100000,3180.0,13580.0
129,Jura,100000,8680.0,13580.0
130,Zürich,200000,26626.0,40369.0
131,Bern,200000,34808.0,40369.0
132,Luzern,200000,28206.0,40369.0
133,Uri,200000,25305.0,40369.0
134,Schwyz,200000,21763.0,40369.0
135,Obwalden,200000,24580.0,40369.0
136,Nidwalden,200000,25161.0,40369.0
137,Glarus,200000,29239.0,40369.0
138,Zug,200000,12945.0,40369.0
139,Fribourg,200000,33193.0,40369.0
140,Solothurn,200000,35145.0,40369.0
