,Canton,Income,Swiss taxes,US Taxes
0,Zürich,20000,477.0,2202.5
1,Bern,20000,511.0,2202.5
2,Luzern,20000,278.0,2202.5
3,Uri,20000,266.0,2202.5
4,Schwyz,20000,545.0,2202.5
5,Obwalden,20000,340.0,2202.5
6,Nidwalden,20000,361.0,2202.5
7,Glarus,20000,581.0,2202.5
8,Zug,20000,148.0,2202.5
9,Fribourg,20000,601.0,2202.5
10,Solothurn,20000,803.0,2202.5
11,Basel-Stadt,20000,0.0,2202.5
12,Basel-Landschaft,20000,0.0,2202.5
13,Schaffhausen,20000,569.0,2202.5
14,Appenzell Ausserrhoden,20000,697.0,2202.5
15,Appenzell Innerrhoden,20000,629.0,2202.5
16,St. Gallen,20000,376.0,2202.5
17,Graubünden,20000,22.0,2202.5
18,Aargau,20000,0.0,2202.5
19,Thurgau,20000,179.0,2202.5
20,Ticino,20000,307.0,2202.5
21,Vaud,20000,0.0,2202.5
22,Valais,20000,34.0,2202.5
23,Neuchâtel,20000,474.0,2202.5
24,Genève,20000,25.0,2202.5
25,Jura,20000,479.0,2202.5
26,Zürich,40000,2282.0,4602.5
27,Bern,40000,3980.0,4602.5
28,Luzern,40000,3158.0,4602.5
29,Uri,40000,3077.0,4602.5
30,Schwyz,40000,2085.0,4602.5
31,Obwalden,40000,2729.0,4602.5
32,Nidwalden,40000,2663.0,4602.5
33,Glarus,40000,2970.0,4602.5
34,Zug,40000,1182.0,4602.5
35,Fribourg,40000,3505.0,4602.5
36,Solothurn,40000,3840.0,4602.5
37,Basel-Stadt,40000,2903.0,4602.5
38,Basel-Landschaft,40000,2750.0,4602.5
39,Schaffhausen,40000,3103.0,4602.5
40,Appenzell Ausserrhoden,40000,3294.0,4602.5
41,Appenzell Innerrhoden,40000,2734.0,4602.5
42,St. Gallen,40000,3274.0,4602.5
43,Graubünden,40000,2384.0,4602.5
44,Aargau,40000,2508.0,4602.5
45,Thurgau,40000,2940.0,4602.5
46,Ticino,40000,2131.0,4602.5
47,Vaud,40000,2153.0,4602.5
48,Valais,40000,2890.0,4602.5
49,Neuchâtel,40000,3764.0,4602.5
50,Genève,40000,2102.0,4602.5
51,Jura,40000,3513.0,4602.5
52,Zürich,60000,5009.0,8990.0
53,Bern,60000,7999.0,8990.0
54,Luzern,60000,6602.0,8990.0
55,Uri,60000,5799.0,8990.0
56,Schwyz,60000,4294.0,8990.0
57,Obwalden,60000,5474.0,8990.0
58,Nidwalden,60000,5569.0,8990.0
59,Glarus,60000,6004.0,8990.0
60,Zug,60000,2629.0,8990.0
61,Fribourg,60000,7325.0,8990.0
62,Solothurn,60000,7911.0,8990.0
63,Basel-Stadt,60000,7466.0,8990.0
64,Basel-Landschaft,60000,6930.0,8990.0
65,Schaffhausen,60000,6612.0,8990.0
66,Appenzell Ausserrhoden,60000,6681.0,8990.0
67,Appenzell Innerrhoden,60000,5425.0,8990.0
68,St. Gallen,60000,7534.0,8990.0
69,Graubünden,60000,5835.0,8990.0
70,Aargau,60000,6154.0,8990.0
71,Thurgau,60000,6475.0,8990.0
72,Ticino,60000,5727.0,8990.0
73,Vaud,60000,8145.0,8990.0
74,Valais,60000,6150.0,8990.0
75,Neuchâtel,60000,8376.0,8990.0
76,Genève,60000,6220.0,8990.0
77,Jura,60000,7607.0,8990.0
78,Zürich,80000,8565.0,13390.0
79,Bern,80000,12305.0,13390.0
80,Luzern,80000,10306.0,13390.0
81,Uri,80000,8937.0,13390.0
82,Schwyz,80000,7056.0,13390.0
83,Obwalden,80000,8438.0,13390.0
84,Nidwalden,80000,8841.0,13390.0
85,Glarus,80000,9810.0,13390.0
86,Zug,80000,4522.0,13390.0
